engine_temp,vibration_level,battery_voltage,oil_pressure,mileage,obd_error_code,fault_label
80.6224598826486,0.5220675351957298,10.54338718720082,51.44837284993322,150054,P0562,Alternator or Battery Failure
107.7485321937632,1.2513149088343987,14.159127134828456,10.473767291080042,96674,None,Low Oil Pressure / Oil Leak
80.93062125434831,0.27115567887790976,10.57727803922503,44.150460622195524,194387,P0562,Alternator or Battery Failure
89.3460422740437,0.8077526830956525,12.9661693969158,36.15464318450235,81251,None,Normal
81.83406298518824,0.5602339188004279,13.013747244130599,51.8542380432111,66102,None,Normal
83.04083113529896,0.47859033903195863,12.836319920125819,36.77405067514111,28523,None,Normal
94.78946415878849,0.659265197173214,13.17981670411834,44.884248945006,166508,None,Normal
106.78580785924908,1.1206410463244598,13.323974814679984,37.4520994226356,105328,P0115,Overheating Engine
83.60270439640658,0.36748258225906977,12.69867889663536,47.72860499087273,142762,None,Normal
92.33637517025085,1.72393368412281,12.83229433576357,10.383969671467584,105289,None,Low Oil Pressure / Oil Leak
110.6173434376818,0.9020707810679567,13.7852250661337,10.053598169384095,148386,P0299,Low Oil Pressure / Oil Leak
93.00927954029848,0.856729484721608,13.846654744935393,35.16727363753714,47445,None,Normal
96.31119040556655,1.6637975978041804,12.74521250270375,15.137371014453993,75095,None,Low Oil Pressure / Oil Leak
86.39749620862791,0.8154207798208355,9.395779821467277,32.194705926454,46084,P0562,Alternator or Battery Failure
97.52109417961603,2.3957246632943514,12.247273459787229,31.232724677745615,79220,P0300,Engine Misfire
109.86081294017404,1.9526286957506118,13.189215885855633,14.08204805252216,237903,None,Low Oil Pressure / Oil Leak
86.97554501331365,0.42697853947152103,10.985372449525164,52.980200776343125,98991,P0562,Alternator or Battery Failure
94.48980199425385,0.46982072012821435,14.067593879342118,44.96511364526907,20026,None,Normal
96.8589024613093,0.23934354066850966,12.732008836619052,44.043980565668704,187105,None,Normal
88.2644436122887,1.180032575285477,13.435974378586453,41.57503220575016,128513,None,Normal
94.34437822270041,0.5766764404294624,10.014177586817206,31.560783181944508,112096,P0562,Alternator or Battery Failure
98.24464316659186,4.0598380073757525,12.589915105146225,37.89171202910165,48807,P0300,Engine Misfire
96.09378566622442,0.4299546058910862,12.904898937647658,35.62268165769023,132075,None,Normal
